open_time;open;high;low;close;up down;up down volume;volume;close_time;quote_volume;trades;taker_base_volue;taker_quote_volume;ignore;acc_volum;price diff;10xprice diff;10 mins acc volume;10mins acc price diff;dev 10 mins acc volume;dev 10mins acc price diff;10x up down volume;;;10 mins acc volume;10mins acc price diff;;;
1.60729E+12;19210.01;19232.05;19201.62;19206.7;-1;-139.005623;139.005623;1.60729E+12;2671492.126;1890;84.835472;1630574.659;0;-43.901812;-3.3;-33;45.594738;28.08;-165.203727;-32.6;-1390.05623;;;-167.394503;-20.9;0.124854757;;
1.60729E+12;19206.7;19230;19206.69;19220.75;1;124.754276;124.754276;1.60729E+12;2397740.962;916;53.780396;1033571.526;0;80.852464;14.05;140.5;208.726057;38.28;163.131319;10.2;1247.54276;;;-165.993132;-65.34;0.393630744;;
1.60729E+12;19220.74;19220.74;19203.52;19212.25;-1;-67.685329;67.685329;1.60729E+12;1300690.302;643;17.7623;341281.9076;0;13.167135;-8.5;-85;107.891361;27.47;-100.834696;-10.81;-676.85329;;;-163.071549;-30.18;0.185072137;;
1.60729E+12;19212.24;19222.01;19211.62;19212.5;1;25.981477;25.981477;1.60729E+12;499296.4647;651;17.471222;335757.0578;0;39.148612;0.25;2.5;205.594628;36.75;97.703267;9.28;259.81477;;;-161.315989;-24.88;0.154231457;;
1.60729E+12;19212.5;19230;19212.4;19225.3;1;63.143385;63.143385;1.60729E+12;1213692.581;722;44.022016;846113.869;0;102.291997;12.8;128;147.948167;34.33;-57.646461;-2.42;631.43385;;;-161.301721;-45.21;0.280282192;;
1.60729E+12;19225.3;19240;19225.3;19239.99;1;44.961974;44.961974;1.60729E+12;864841.3478;821;33.911967;652295.6031;0;147.253971;14.69;146.9;61.262622;16.13;-86.685545;-18.2;449.61974;;;-159.590164;-28.38;0.177830508;;
1.60729E+12;19239.99;19240;19226.86;19233.92;-1;-35.746769;35.746769;1.60729E+12;687568.1263;641;11.564622;222448.6697;0;111.507202;-6.07;-60.7;-1.667208;-0.61;-62.92983;-16.74;-357.46769;;;-159.030266;-22.09;0.138904377;;
1.60729E+12;19233.93;19239.72;19233.9;19239.72;1;25.065666;25.065666;1.60729E+12;482165.8539;449;15.282882;293980.528;0;136.572868;5.8;58;3.226638;2.35;4.893846;2.96;250.65666;;;-158.85407;-49.77;0.31330642;;
1.60729E+12;19239.55;19239.56;19226.69;19236.69;-1;-20.834905;20.834905;1.60729E+12;400755.6725;478;13.850837;266426.14;0;115.737963;-3.03;-30.3;-34.265014;-4.73;-37.491652;-7.08;-208.34905;;;-157.806408;-21.06;0.133454657;;
1.60729E+12;19236.68;19243;19234.1;19241.68;1;47.672676;47.672676;1.60729E+12;917116.0149;800;35.207765;677310.1684;0;163.410639;4.99;49.9;-45.615038;-6.7;-11.350024;-1.97;476.72676;;;-154.650958;-22.56;0.145876885;;
